order,MAPE,RMSE,MAPA (%)
"(0, 0, 0)",0.0219,396256831.21,97.81
"(0, 0, 1)",0.0222,400911010.53,97.78
"(0, 0, 2)",0.0219,396748540.8,97.81
"(0, 1, 0)",0.0199,479663933.69,98.01
"(0, 1, 1)",0.0199,440338575.5,98.01
"(0, 1, 2)",0.0201,439502861.08,97.99
"(0, 2, 0)",0.4389,7603976623.07,56.11
"(0, 2, 1)",0.1215,2083723033.85,87.85
"(0, 2, 2)",0.129,2219798572.13,87.1
"(1, 0, 0)",0.0225,404655998.13,97.75
"(1, 0, 1)",0.0223,402635949.29,97.77
"(1, 0, 2)",0.0224,403140067.01,97.76
"(1, 1, 0)",0.0201,436102872.76,97.99
"(1, 1, 1)",0.0202,435420644.33,97.98
"(1, 1, 2)",0.0201,438522506.84,97.99
"(1, 2, 0)",0.1724,2985140080.22,82.76
"(1, 2, 1)",0.1291,2223494519.56,87.09
"(1, 2, 2)",0.1241,2136534332.46,87.59
"(2, 0, 0)",0.0223,402501376.7,97.77
"(2, 0, 1)",0.0222,399774676.25,97.78
"(2, 0, 2)",0.0222,400233863.6,97.78
"(2, 1, 0)",0.0202,437806614.82,97.98
"(2, 1, 1)",0.0201,439794809.64,97.99
"(2, 1, 2)",0.0195,399941432.81,98.05
"(2, 2, 0)",0.1469,2540104685.38,85.31
"(2, 2, 1)",0.0678,1152326577.16,93.22
"(2, 2, 2)",0.08,1388501836.34,92.0
