order,seasonal_order,MAPE,RMSE,MAPA (%)
"(0, 0, 0)","(0, 0, 0, 12)",1.0,15324544826.12,0.0
"(0, 0, 0)","(0, 0, 1, 12)",0.7885,12585485702.73,21.15
"(0, 0, 0)","(0, 1, 0, 12)",0.0043,99555516.23,99.57
"(0, 0, 0)","(0, 1, 1, 12)",0.0043,98894869.1,99.57
"(0, 0, 0)","(1, 0, 0, 12)",0.0044,99906083.56,99.56
"(0, 0, 0)","(1, 0, 1, 12)",0.0044,101443425.67,99.56
"(0, 0, 0)","(1, 1, 0, 12)",0.004,96216868.53,99.6
"(0, 0, 0)","(1, 1, 1, 12)",0.004,96358629.44,99.6
"(0, 0, 1)","(0, 0, 0, 12)",0.9746,15045997660.15,2.54
"(0, 0, 1)","(0, 0, 1, 12)",0.7625,12270580498.83,23.75
"(0, 0, 1)","(0, 1, 0, 12)",0.0043,99524933.43,99.57
"(0, 0, 1)","(0, 1, 1, 12)",0.0043,98466473.21,99.57
"(0, 0, 1)","(1, 0, 0, 12)",0.0044,100675667.38,99.56
"(0, 0, 1)","(1, 0, 1, 12)",0.0044,101492558.27,99.56
"(0, 0, 1)","(1, 1, 0, 12)",0.004,96205364.88,99.6
"(0, 0, 1)","(1, 1, 1, 12)",0.004,96092151.16,99.6
"(0, 0, 2)","(0, 0, 0, 12)",0.9458,14794854071.09,5.42
"(0, 0, 2)","(0, 0, 1, 12)",0.7566,12160700788.02,24.34
"(0, 0, 2)","(0, 1, 0, 12)",0.0044,100042186.48,99.56
"(0, 0, 2)","(0, 1, 1, 12)",0.0043,98878775.54,99.57
"(0, 0, 2)","(1, 0, 0, 12)",0.0044,101193962.08,99.56
"(0, 0, 2)","(1, 0, 1, 12)",0.0044,101924514.58,99.56
"(0, 0, 2)","(1, 1, 0, 12)",0.0039,95652802.08,99.61
"(0, 0, 2)","(1, 1, 1, 12)",0.004,95977385.68,99.6
"(0, 1, 0)","(0, 0, 0, 12)",0.0191,469973003.99,98.09
"(0, 1, 0)","(0, 0, 1, 12)",0.0211,469053700.49,97.89
"(0, 1, 0)","(0, 1, 0, 12)",0.0043,99325859.65,99.57
"(0, 1, 0)","(0, 1, 1, 12)",0.0045,105116663.52,99.55
"(0, 1, 0)","(1, 0, 0, 12)",0.0045,86284980.59,99.55
"(0, 1, 0)","(1, 0, 1, 12)",0.0045,86047231.01,99.55
"(0, 1, 0)","(1, 1, 0, 12)",0.007,139645239.11,99.3
"(0, 1, 0)","(1, 1, 1, 12)",0.0068,137257282.94,99.32
"(0, 1, 1)","(0, 0, 0, 12)",0.0217,392481474.05,97.83
"(0, 1, 1)","(0, 0, 1, 12)",0.0183,346528690.63,98.17
"(0, 1, 1)","(0, 1, 0, 12)",0.0046,105900352.48,99.54
"(0, 1, 1)","(0, 1, 1, 12)",0.0044,97276462.51,99.56
