order,MAPE,RMSE,MAPA (%)
"(0, 0, 0)",0.0217,392471460.77,97.83
"(0, 0, 1)",0.022,396983126.99,97.8
"(0, 0, 2)",0.0217,392948061.11,97.83
"(0, 1, 0)",0.0191,469973003.99,98.09
"(0, 1, 1)",0.0193,431742456.0,98.07
"(0, 1, 2)",0.0195,430949413.66,98.05
"(0, 2, 0)",0.4544,7882017826.71,54.56
"(0, 2, 1)",0.1247,2136700992.64,87.53
"(0, 2, 2)",0.1326,2279482104.93,86.74
"(1, 0, 0)",0.0223,400614238.49,97.77
"(1, 0, 1)",0.0222,398655527.54,97.78
"(1, 0, 2)",0.0222,399144318.98,97.78
"(1, 1, 0)",0.0195,427682868.31,98.05
"(1, 1, 1)",0.0197,427054557.37,98.03
"(1, 1, 2)",0.0195,430016942.0,98.05
"(1, 2, 0)",0.1778,3078490226.39,82.22
"(1, 2, 1)",0.1327,2283538557.56,86.73
"(1, 2, 2)",0.1275,2192838266.51,87.25
"(2, 0, 0)",0.0222,398525048.4,97.78
"(2, 0, 1)",0.022,395881351.08,97.8
"(2, 0, 2)",0.0221,396326585.91,97.79
"(2, 1, 0)",0.0196,429337718.56,98.04
"(2, 1, 1)",0.0195,431239704.17,98.05
"(2, 1, 2)",0.0194,395666135.36,98.06
"(2, 2, 0)",0.1513,2614721411.84,84.87
"(2, 2, 1)",0.0685,1159277336.98,93.15
"(2, 2, 2)",0.0815,1409970097.03,91.85
